genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
EH_bin.41	0.005404318	0.004537224	0.0016160823	0.0035081385	5.036451e-5	0.0018237254	0.009481487	0.008574631	0	0.0021907089	6.244021e-5	0.0049528047	0.0063406266	5.52537e-4	1.5668958e-4	0.020254485	0.0033434965	0.010180405	0.9981589	0.0038383058	7.186515e-5	1.328327e-4	0.0016555492	0.0012841477	0.005674107	1.5344976e-4	0.035590332	1.3960688e-4	5.7521573e-4	2.091158e-5	5.743321e-5	0.62082356	7.310217e-4	0.0015041612	0.0013439371	4.4179393e-5	0.012179964	0.0018549456	9.701795e-4	2.4357573e-4	0.0066866986	3.1809162e-4	0.005077685	9.645834e-4	0.1641721	2.5918578e-5	0.0049528047	5.389886e-4	0.0026560652	2.6213107e-5	3.46661e-4
EH_bin.42	0.002420975	0.0037854733	0.0018089229	0.0021843242	0.013920371	0.020742863	0.0063959095	0.9241053	0.0024172186	0.031534653	0.037691098	0.9202137	0.0018413215	0.0018457822	0.025874522	0.08560537	0.0016783893	0.027516756	0.11361585	8.1653905e-4	0.0109338295	0.031845495	0.9715824	3.2257754e-4	0.0016823803	0.0012410079	0.6208779	2.0519125e-4	9.468379e-4	0.0014177917	0.006939643	0.2215347	0.002310397	0.0010428599	4.524068e-4	0.016361536	0.0020230354	0.005550024	5.5312424e-4	0.07817739	0.9727014	0.016558276	0.007451917	0.0010919273	0.018005883	0.0012597897	0.31492937	9.6726307e-4	0.0034063156	0.01593566	0.0025120666
EH_bin.43	0.07106457	0.0042113224	0.0035445255	1.4870419e-4	1.0617053e-4	0.009022696	0.00938276	0.0015626209	5.921993e-5	2.1675802e-4	6.298252e-5	0.00143502	5.629165e-4	0.0048851534	0.0033915679	0.02160775	2.462044e-4	5.9138134e-4	0.6145316	1.8649371e-4	2.0596103e-4	8.343139e-5	6.4520276e-4	8.310421e-5	0.0025067043	2.4898545e-4	0.0025510376	1.631002e-4	0.0045162556	9.0449443e-4	7.541543e-5	0.9975692	0.0063604168	0.0025539822	2.71561e-5	8.784835e-5	9.455558e-4	2.9053754e-4	3.9589013e-5	1.0191717e-4	0.0010569612	0.0024810205	4.4856642e-4	4.05542e-4	0.04600603	1.8322188e-4	5.5375544e-4	0.0033354561	2.1054158e-4	6.0201477e-5	7.1652845e-5
EH_bin.44	0.0031342523	0.0035710125	0.0019785706	0.0021275163	4.055455e-5	0.008342931	0.020099819	0.0053109257	0.003974592	1.10357534e-4	8.479588e-5	0.0031671876	1.870425e-4	0.005164192	0.0017396673	0.09007977	1.604977e-4	4.402012e-4	0.44142717	2.0621375e-4	2.003149e-4	9.020315e-5	0.0015757286	8.430431e-5	9.730634e-4	1.7745688e-4	0.09702246	0	0.0022383654	2.6692267e-4	0.0039777867	0.9289462	0.0049773953	0.0014975689	7.766811e-5	0	3.5958368e-4	0.0030779676	4.3258187e-5	1.85322e-4	0.00272969	0.0012109835	3.5147276e-4	1.192058e-4	0.0115482155	1.4624216e-4	0.0031708742	0.0018473212	1.1183225e-4	3.440992e-5	0.0028484042
EH_bin.47	0.0035381902	1.3365886e-4	0.0023613067	0.0032763558	8.8557566e-4	0.006081136	0.9354633	1.2611914e-4	0	0.0023263497	0.0027040218	3.1187068e-4	0.0034840412	0.0036362065	0.0026286244	0.008696051	0.0013016317	0.9634919	0.9992481	0.002594353	3.28321e-4	0.0014942376	4.3798983e-4	9.1093656e-4	0.0018732804	5.4971495e-4	0.49344248	5.6205266e-5	0.0025676212	3.351753e-4	1.9740386e-4	0.99945027	0.0036553987	0.002268088	4.0371832e-4	5.401189e-4	0.005839179	4.3593353e-4	1.0829795e-4	0.0021090684	0.0036259252	0.0026251972	0.0033538095	9.342412e-4	0.0026731773	1.7272838e-4	9.918173e-4	0.002022704	0.0020624592	3.961786e-4	1.9329129e-4
EH_bin.48	0.6610521	1.6194013e-4	7.0692366e-4	0.0019178716	0.0013053815	0.002368801	8.419369e-5	4.4334427e-4	0	0.0032551102	0.0048487224	6.7506655e-5	0.0023911768	0.001950108	0.0022743675	0.011123428	9.784673e-5	0.9926888	0.0063077006	0.0023221532	6.970631e-4	0.0023225325	0.0013671995	3.5763357e-4	6.276602e-4	3.0377996e-4	0.10633929	1.8848768e-4	0.0017563108	6.1969593e-4	0	0.005402429	0.003588851	5.984579e-4	5.688763e-5	0.0014282588	0.0029972198	6.257639e-5	5.4498354e-4	0.0047743893	0.0067055346	0.0035805076	0.006427923	1.498041e-4	0.0029585361	2.8898916e-4	5.688763e-5	0.002504952	2.385488e-4	8.669675e-4	4.911299e-4
EH_bin.49	8.636666e-4	1.9068447e-4	0.0014033185	4.979397e-4	3.202903e-4	4.91236e-4	6.7111995e-4	1.631246e-4	7.038938e-5	0.01664653	5.303412e-4	0.0010960633	0.005258348	0.12891462	0.0020319812	0.0028584048	0.0029556092	8.1152626e-4	0.046054024	0.0022476187	0.19962764	4.320195e-4	0	0.0014010839	1.3817176e-4	0.013658892	0.9966876	0.009949111	0.07336548	1.3072314e-4	6.316423e-4	0.0060434313	0.0016129969	0.012694297	8.521212e-4	7.385299e-4	0.0015738917	0.0012599328	8.837778e-4	4.1004608e-4	9.929e-4	0.09414338	7.750281e-4	1.8286343e-4	3.3369783e-4	0.26244178	0.0022286247	7.0128683e-4	0.0024599042	1.6908349e-4	2.3425884e-4
EH_bin.4	0.6629065	0.01678214	0.010330221	0.0016016843	0.003332893	0.024194147	0.049348984	0.0039248895	0.0012098982	0.0013408283	0.0021629564	7.1710313e-4	0.0061129476	0.014788469	0.012371485	0.017167702	2.9860888e-4	0.033093575	0.45910144	5.464121e-4	0.006447703	0.0011978494	0.0012203404	0.024623485	0.0052368008	0.0072885067	0.012111432	0.0020284117	0.016543373	0.0038550065	0.0011629079	0.99213177	0.046296626	0.00635312	0.0021362484	5.7191536e-4	0.036061794	0.0014454518	0.013962927	0.003209192	0.003254375	0.009017105	0.011751173	6.8637874e-4	0.0012189348	0.0020149574	5.6408363e-4	0.020027077	0.009053251	5.3155195e-4	0.010280419
EH_bin.50	0.3275124	0.108243994	0.0037439351	5.011767e-4	3.4501292e-5	0.007758433	0.042582948	0.006121256	1.00961675e-4	2.513147e-4	2.7601034e-5	0.0019044713	0.001300154	0.004006508	0.0027720882	0.010818153	2.665679e-4	0.0011548854	0.91018915	4.2745285e-4	1.8848601e-4	2.3606148e-5	4.2636335e-4	2.3606148e-5	0.0071239723	4.8338127e-4	0.025251677	2.179029e-4	0.0036767484	0.0013005171	1.478108e-4	0.9958163	0.0069481973	0.002083878	5.9196955e-5	0	0.0013524507	4.0856795e-4	0	5.4475724e-5	0.0022480316	0.0021056684	6.50077e-4	2.0410238e-4	0.41702548	1.5979547e-4	0.0016734942	0.0030484616	2.75284e-4	0	2.9780063e-5
EH_bin.53	0.0036111176	0.020345388	0.001222132	0.0013469039	0	0.002040256	0.033933196	0.005652637	1.2161304e-4	0.0011349497	3.1966856e-4	0.0037153573	0.0027481387	8.446578e-4	6.276496e-4	0.12403867	0.0013513261	0.0037096716	0.9996096	0.0017366974	0	1.18770135e-4	0.00210817	2.48596e-4	0.005306435	1.0044921e-4	0.0572829	0	5.786885e-4	2.4922777e-4	4.4317686e-4	0.91196066	6.5039285e-4	0.0010724058	5.445737e-4	2.6217876e-5	0.004593498	0.0010667201	3.436753e-4	2.5491355e-4	0.004823773	3.1808918e-4	0.0025725106	5.783727e-4	0.19627713	1.0360799e-4	0.0032456466	4.6370894e-4	0.0010942015	0	5.559453e-5
