genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
HA_bin.8	67606	860	5848	1652	1077679	3254	10785	15341	32062	1549	1831	5588	11793	266246	14380	6819	513518	1925	11766	11254	15510	2473	1037	4326	29058	26663	4762	2638648	19924	12409	78642	12511	2118	10031	2608383	5181	32147	8772	3273	2421	4960	1887	94521	43044	22164	422379	9995	11098	13328	88412	592
HA_bin.9	124	10	6	51	73	159	90	0	8	3	9	4	1	212061	80	3	2	10	71	2	2	6	4	4	35	3	0	69	49	16	9	80	163	46	1	20	27	3	2	2	152	87	37	19	5	24	29	218	9	0	230
PK_bin.10	591	111	70	159	269	381823	127	131	8273	432	2438	82	21208	611	420	53256	85	773	428	178	393	19820	319	23	11850	316779	219	27	388	198	201332	742	1026	261	13	10073	1059395	917	55	833	777	550	280	185	185	11960	8751	395857	51022	162	3094
PK_bin.11	413933	450	1559	371	687	10888	13637	135920	377	241	234	75485	4448	2428	1863	38558	1469	95056	5060	629	5218	336	473	109029	5187	8349	173777	2272	11763	1417964	5492	555824	502630	1611	452	328	424699	255561	97981	272	3476	3397	13509	3507	5536	2930	7389	42672	11299	242	46063
PK_bin.12	455	42	9	1661	9400	649073	29	12	16917	424	103	15	1634	961	2413	124	70	1329	78	329	188	76	41	5	143	450	973	839	625	60	22	466	879	230	1	711	195	263	6	123	2788	3027	10360	1403	4843	265	18	386	3029	40	32
PK_bin.14	1445	1890	16	834	518	2684	1569	118	610	20	39	37	725	1205	102	4385	3	484	379	9	63	12	4	289	6	63	85	21	69	27	1127	287	3343	262	14	18	427	58	248	29	169	35	243	3	771	11	21	170	359	5	1284
PK_bin.15	3	0	95	82	27	0	48	8	0	150	0	108	1285945	0	0	275	230	432	2318	206	317	2	8	97	5	7	83	0	11	5	96	4	0	162	98	13	213301	552	172	0	217	0	180	19	192	49	90	915	351701	8	0
PK_bin.16	26	11	143	2	187	345	38	40120	10	343	484	680472	434	5	278	1103	359	760	3552	93	118	426	55590	76	298	14	480	0	33	341	60	5266	6	251	78	175	56	329	83	862	79861	210	2250	18	390	4	9934	89	384	199	0
PK_bin.17	49	0	0	52	575	3	342	3094	0	583	13297	0	65	2	419	989	0	962	140	49	27	1673	347	2	164	35	2	6	51	25	2	73	81	0	0	418	632537	0	0	1432	1180	517	106	24	65	30	0	44	4	328	2
PK_bin.19	55	0	2	23	12	6	0	7	0	8	2	5	31984	2	10	32	8	70	80	31	34	0	2	446	16	13	234	14	25	17	0	176	882	20	0	2	238291	16	267	0	25	2	37	8	40	4	3	8	16	4	0
